ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,AM,1302603,13304259,estadual,fundamental,iniciais (1-5),98.7,0.99024898,214.82,211.75,5.913671,5.9,5.9
2019,PA,1500107,15064255,municipal,fundamental,iniciais (1-5),99.2,0.99128503,195.11,194.3,5.2206259,5.2,4.7
2019,PR,4111407,41110633,municipal,fundamental,iniciais (1-5),98.8,0.98584098,230.07,217.5,6.309247,6.2,5.4
2019,CE,2305506,23143851,municipal,fundamental,iniciais (1-5),100.0,1.0,200.86,199.97,5.4330769,5.4,4.9
2019,MT,5107909,51065940,estadual,fundamental,iniciais (1-5),97.2,0.96982598,224.1,220.78,6.2551341,6.1,6.2
2019,PE,2611101,26181126,municipal,fundamental,iniciais (1-5),96.9,0.96833497,225.69,201.52,5.9354858,5.7,5.8
2019,PR,4128203,41118049,municipal,fundamental,iniciais (1-5),90.9,0.91058898,220.13,219.35,6.1533799,5.6,6.4
2019,SC,4213906,42133025,municipal,fundamental,iniciais (1-5),98.8,0.98958302,259.98,238.35,7.2593298,7.2,6.9
2019,AP,1600279,16004930,estadual,fundamental,iniciais (1-5),61.7,0.62194997,159.27,145.24,3.644475,2.3,3.9
2019,BA,2900207,29033039,municipal,fundamental,iniciais (1-5),99.3,0.992374,218.58,195.27,5.6859722,5.6,4.6
2019,AM,1302603,13096737,municipal,fundamental,iniciais (1-5),97.7,0.97356701,220.92,213.5,6.062274,5.9,5.4
2019,MA,2107506,21007950,municipal,fundamental,iniciais (1-5),99.6,0.99593502,237.55,218.3,6.466722,6.4,5.3
2019,MG,3167202,31141674,estadual,fundamental,iniciais (1-5),100.0,1.0,234.36,230.66,6.6303902,6.6,5.2
2019,SC,4200101,42128714,municipal,fundamental,iniciais (1-5),100.0,1.0,214.35,193.17,5.5670648,5.6,5.7
2019,SP,3521408,35218674,municipal,fundamental,iniciais (1-5),100.0,1.0,235.83,224.0,6.537353,6.5,6.2
2019,RO,1100205,11048280,municipal,fundamental,iniciais (1-5),88.5,0.88154697,196.19,191.16,5.1841459,4.6,4.9
2019,PR,4106506,41091965,municipal,fundamental,iniciais (1-5),98.0,0.97722697,228.02,205.94,6.0601339,5.9,6.5
2019,RJ,3303906,33133131,municipal,fundamental,iniciais (1-5),88.2,0.86884099,208.35,192.13,5.4336519,4.7,5.5
2019,MA,2105401,21058229,municipal,fundamental,iniciais (1-5),95.7,0.953008,181.89,171.61,4.5557899,4.3,4.8
2019,PB,2500304,25063111,municipal,fundamental,iniciais (1-5),77.6,0.78020298,207.67,195.02,5.473412,4.3,4.3
2019,PI,2201408,22043063,municipal,fundamental,iniciais (1-5),91.4,0.91448599,185.72,176.75,4.7223368,4.3,4.8
2019,PI,2200509,22041931,municipal,fundamental,iniciais (1-5),95.9,0.95602101,160.8,148.72,3.7367549,3.6,
2019,RS,4320859,43153550,municipal,fundamental,iniciais (1-5),100.0,1.0,226.0,202.36,5.9563031,6.0,
2019,PA,1501303,15036430,municipal,fundamental,iniciais (1-5),91.6,0.91806698,182.86,184.77,4.8133931,4.4,4.3
2019,MA,2109452,21285403,municipal,fundamental,iniciais (1-5),93.7,0.928599,178.41,167.44,4.413187,4.1,4.6
2019,MG,3170701,31175021,municipal,fundamental,iniciais (1-5),98.5,0.98450601,261.52,254.14,7.5759921,7.5,6.9
2019,MA,2105427,21088730,municipal,fundamental,iniciais (1-5),100.0,1.0,195.0,194.13,5.2150631,5.2,5.3
2019,MA,2106805,21006709,municipal,fundamental,iniciais (1-5),97.9,0.98221898,157.1,138.89,3.4875989,3.4,3.2
2019,RJ,3301702,33050066,municipal,fundamental,iniciais (1-5),83.2,0.82726502,209.55,210.41,5.7887349,4.8,5.6
2019,AM,1302603,13081527,municipal,fundamental,iniciais (1-5),96.0,0.940238,226.66,222.52,6.3356342,6.0,5.2
2019,MA,2101202,21235120,municipal,fundamental,iniciais (1-5),95.2,0.96237302,214.88,186.67,5.4589982,5.3,5.6
2019,MG,3170206,31167495,estadual,fundamental,iniciais (1-5),98.8,0.98757201,238.0,220.85,6.521492,6.4,6.5
2019,SE,2801405,28003888,municipal,fundamental,iniciais (1-5),88.5,0.87759298,243.97,234.38,6.881423,6.0,
2019,SP,3550308,35054380,municipal,fundamental,iniciais (1-5),98.7,0.98626,236.44,222.41,6.5200849,6.4,7.4
2019,SE,2800308,28018923,estadual,fundamental,iniciais (1-5),82.0,0.821558,208.8,195.64,5.5060582,4.5,5.0
2019,SP,3556206,35227024,municipal,fundamental,iniciais (1-5),91.3,0.91256702,247.05,236.42,6.9774752,6.4,7.1
2019,MA,2107803,21162395,municipal,fundamental,iniciais (1-5),95.0,0.95600098,231.44,201.44,6.0435829,5.8,4.5
2019,BA,2903003,29343224,municipal,fundamental,iniciais (1-5),100.0,1.0,197.52,174.36,4.903882,4.9,4.4
2019,BA,2914000,29465281,municipal,fundamental,iniciais (1-5),81.1,0.74781603,200.44,189.61,5.237071,3.9,5.0
2019,SE,2804706,28013590,municipal,fundamental,iniciais (1-5),87.3,0.85409898,182.46,158.97,4.3364768,3.7,3.8
2019,DF,5300108,53007859,estadual,fundamental,iniciais (1-5),94.2,0.95319498,219.3,214.67,6.0524402,5.8,6.3
2019,MA,2106805,21220077,municipal,fundamental,iniciais (1-5),94.2,0.93348402,180.27,180.63,4.688693,4.4,4.5
2019,PA,1501782,15111628,municipal,fundamental,iniciais (1-5),85.3,0.87651199,181.22,169.61,4.5064502,3.9,4.6
2019,SP,3539301,35390550,municipal,fundamental,iniciais (1-5),96.8,0.96658701,233.94,210.71,6.2598381,6.1,6.9
2019,MA,2101400,21180571,municipal,fundamental,iniciais (1-5),98.3,0.98221898,200.05,198.99,5.3998008,5.3,5.4
2019,SC,4208500,42095140,estadual,fundamental,iniciais (1-5),97.5,0.97466201,255.6,247.42,7.3406429,7.2,6.6
2019,RJ,3304805,33012989,municipal,fundamental,iniciais (1-5),89.6,0.89905202,195.78,199.16,5.3217759,4.8,5.9
2019,SP,3550308,35053478,municipal,fundamental,iniciais (1-5),94.5,0.94723397,240.58,220.02,6.5560098,6.2,6.8
2019,SP,3550209,35277113,municipal,fundamental,iniciais (1-5),98.8,0.984945,279.14,257.48,7.9729791,7.9,7.0
2019,BA,2904050,29214629,municipal,fundamental,iniciais (1-5),90.2,0.90768701,208.61,188.0,5.363523,4.9,4.7
2019,MG,3150802,31194255,estadual,fundamental,iniciais (1-5),100.0,1.0,232.63,198.69,6.0161018,6.0,6.0
2019,CE,2309409,23091550,municipal,fundamental,iniciais (1-5),100.0,1.0,309.0,248.32,8.3759079,8.4,6.9
2019,SC,4218806,42077486,municipal,fundamental,iniciais (1-5),98.2,0.98129803,211.53,204.35,5.7165298,5.6,6.4
2019,RJ,3301900,33112703,municipal,fundamental,iniciais (1-5),87.3,0.86909598,226.1,216.13,6.208756,5.4,5.6
