ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,CE,2301901,23162236,municipal,fundamental,iniciais (1-5),100.0,1.0,212.0,197.47,5.6005912,5.6,4.5
2019,BA,2909208,29112672,municipal,fundamental,iniciais (1-5),92.6,0.92760903,237.6,225.89,6.6056771,6.1,5.4
2019,PA,1500107,15540880,municipal,fundamental,iniciais (1-5),86.3,0.86632401,173.75,153.24,4.0662651,3.5,
2019,SP,3542206,35032438,estadual,fundamental,iniciais (1-5),96.7,0.96306598,248.94,215.77,6.637907,6.4,6.1
2019,MS,5006606,50018493,municipal,fundamental,iniciais (1-5),84.3,0.853679,221.99,206.21,5.9497762,5.1,4.7
2019,SC,4205803,42125340,municipal,fundamental,iniciais (1-5),97.4,0.96330303,252.11,233.08,7.0135031,6.8,6.4
2019,MA,2110203,21191273,municipal,fundamental,iniciais (1-5),100.0,1.0,205.8,194.83,5.4340882,5.4,5.8
2019,CE,2308005,23021357,municipal,fundamental,iniciais (1-5),100.0,1.0,241.22,228.08,6.7145882,6.7,5.1
2019,AP,1600600,16010930,municipal,fundamental,iniciais (1-5),96.4,0.96247602,190.11,181.47,4.891933,4.7,5.2
2019,MG,3160405,31035602,municipal,fundamental,iniciais (1-5),100.0,1.0,249.78,241.61,7.1239471,7.1,6.9
2019,RN,2412005,24054631,municipal,fundamental,iniciais (1-5),94.9,0.94979203,179.11,161.0,4.3096371,4.1,3.9
2019,PE,2608750,26038510,municipal,fundamental,iniciais (1-5),94.7,0.94580901,194.5,185.94,5.0567942,4.8,5.1
2019,SP,3556107,35241301,municipal,fundamental,iniciais (1-5),98.6,0.985618,258.3,230.42,7.0832691,7.0,7.3
2019,AL,2704302,27226360,municipal,fundamental,iniciais (1-5),87.3,0.87136501,225.58,222.75,6.3192048,5.5,4.7
2019,RJ,3304557,33080577,municipal,fundamental,iniciais (1-5),89.9,0.89675701,213.89,190.42,5.5084772,4.9,5.9
2019,MG,3146750,31237183,municipal,fundamental,iniciais (1-5),98.1,0.98266798,212.08,211.44,5.8557448,5.8,5.6
2019,MG,3136702,31068420,estadual,fundamental,iniciais (1-5),100.0,1.0,256.3,240.1,7.2209201,7.2,6.7
2019,PR,4104006,41124685,municipal,fundamental,iniciais (1-5),95.9,0.948488,240.83,211.63,6.4080539,6.1,6.1
2019,PA,1500800,15583520,municipal,fundamental,iniciais (1-5),95.3,0.95326197,217.24,201.47,5.7729449,5.5,5.7
2019,PR,4125506,41137442,municipal,fundamental,iniciais (1-5),95.9,0.96016002,233.14,224.16,6.4892979,6.2,6.7
2019,CE,2309458,23057920,municipal,fundamental,iniciais (1-5),100.0,1.0,254.88,256.05,7.4838109,7.5,5.2
2019,SP,3507605,35271470,municipal,fundamental,iniciais (1-5),93.4,0.930498,231.47,208.0,6.1632371,5.7,6.1
2019,PA,1500305,15023974,municipal,fundamental,iniciais (1-5),74.1,0.76919299,184.0,173.25,4.6256852,3.6,
2019,MG,3143302,31227595,municipal,fundamental,iniciais (1-5),98.1,0.98304403,237.32,216.74,6.4337878,6.3,6.2
2019,MG,3170107,31160083,estadual,fundamental,iniciais (1-5),96.0,0.95739698,223.41,213.25,6.105248,5.8,6.0
2019,MG,3135209,31062642,estadual,fundamental,iniciais (1-5),100.0,1.0,217.77,209.91,5.9365139,5.9,5.7
2019,PB,2516904,25013238,municipal,fundamental,iniciais (1-5),79.1,0.81200498,202.3,187.89,5.2411032,4.3,4.4
2019,PB,2511202,25114727,municipal,fundamental,iniciais (1-5),93.1,0.93067199,226.41,196.32,5.8543091,5.4,5.1
2019,PI,2209906,22038663,municipal,fundamental,iniciais (1-5),96.2,0.94824201,227.5,204.36,6.0212922,5.7,6.4
2019,PA,1504059,15548090,municipal,fundamental,iniciais (1-5),84.9,0.85058397,208.97,195.5,5.506948,4.7,5.0
2019,SP,3540705,35214401,municipal,fundamental,iniciais (1-5),92.8,0.92815298,248.78,227.86,6.8550439,6.4,6.2
2019,SC,4212502,42069793,municipal,fundamental,iniciais (1-5),98.1,0.98043501,250.67,229.72,6.9247489,6.8,6.1
2019,SP,3548708,35282017,municipal,fundamental,iniciais (1-5),98.2,0.98128098,249.42,227.89,6.8678041,6.7,6.9
2019,RS,4321105,43152244,estadual,fundamental,iniciais (1-5),96.9,0.97139603,231.47,227.82,6.5237918,6.3,6.4
2019,MS,5002902,50010620,municipal,fundamental,iniciais (1-5),100.0,1.0,200.89,175.92,4.9967489,5.0,5.3
2019,PB,2516508,25050850,municipal,fundamental,iniciais (1-5),88.5,0.91114902,184.3,174.63,4.6563191,4.2,3.6
2019,BA,2901304,29372798,municipal,fundamental,iniciais (1-5),100.0,1.0,222.33,217.53,6.1624551,6.2,5.8
2019,RS,4313508,43093558,municipal,fundamental,iniciais (1-5),96.2,0.95559198,231.57,208.32,6.1709638,5.9,5.6
2019,MA,2100055,21088462,municipal,fundamental,iniciais (1-5),91.5,0.91108799,211.63,210.52,5.8306198,5.3,4.7
2019,RS,4316907,43123376,municipal,fundamental,iniciais (1-5),93.0,0.926934,262.17,249.32,7.5005789,7.0,6.3
2019,SP,3530607,35280902,municipal,fundamental,iniciais (1-5),97.3,0.97402602,233.44,218.5,6.3917422,6.2,5.9
2019,SC,4202008,42070007,municipal,fundamental,iniciais (1-5),98.5,0.97222197,230.16,217.05,6.302783,6.1,7.3
2019,PE,2611101,26035731,municipal,fundamental,iniciais (1-5),95.1,0.95347297,230.36,213.24,6.2373271,5.9,5.6
2019,MG,3131901,31106208,municipal,fundamental,iniciais (1-5),92.7,0.90902901,231.36,219.41,6.3689651,5.8,
2019,SP,3542206,35233500,municipal,fundamental,iniciais (1-5),97.1,0.96866298,266.7,235.44,7.334475,7.1,6.3
2019,MA,2102903,21067317,municipal,fundamental,iniciais (1-5),88.1,0.88932103,192.97,184.27,4.997232,4.4,4.7
2019,MG,3137601,31009474,municipal,fundamental,iniciais (1-5),100.0,1.0,259.85,250.53,7.4784861,7.5,7.0
2019,PR,4103701,41383176,municipal,fundamental,iniciais (1-5),96.7,0.96689099,268.07,240.41,7.450983,7.2,5.8
2019,RJ,3304557,33140090,municipal,fundamental,iniciais (1-5),95.6,0.94886398,220.35,204.13,5.8806601,5.6,6.1
2019,MG,3153509,31078271,municipal,fundamental,iniciais (1-5),100.0,1.0,217.99,213.35,6.0032582,6.0,6.4
